г. Москва улица Щербаковская;д.7А ;"м.Семеновская, выход из метро налево, (ориентир магазин ""Перекресток"")";Режим работы: с 10-00 до 21-00 ;Телефон: 8(499)745-00-63,64;Дочкисыночки;
г. Москва;" Алтуфьевское ш., д. 70, к. 1, ТЦ ""Маркос Молл"", цокольный этаж";"метро Алтуфьево
Выход в город на Алтуфьевское шоссе
Пешком 120 м до остановки метро ""Алтуфьево""
Автобусы 98,259
Маршрутки 571м,373м,1005,Отрадное-Зельгрос,359м
Троллейбус 73
Проехать 3 остановки до ""Костромская улица""
Перейти дорогу (пешком 270 м) до ТЦ ""Маркос Молл""
Открыт отдел ""Женские штучки!""";Режим работы: 10:00-22:00;Телефон: 8 (495) 543-73-18, 8 (495) 543-73-19;Дочкисыночки;
г. Москва;" Ангелов переулок, д.1, к. 1, ТЦ ""КУБ"",2-3 этаж";"М. Пятницкое шоссе,последний вагон из центра, выход на ул.Митинская, на противоположную сторону,по правую сторону ТЦ ""КУБ""
";Режим работы: 10:00-21:00;Телефон: 8 (495) 752-96-09, 8 (495) 752-87-36;Дочкисыночки;
г. Москва; Ленинский пр-т, д. 99;"М. Калужская, 1-ый вагон из центра. Повернуть направо, затем налево: 
а) общественный транспорт: пройти вперёд до пересечения с ул. Обручева, повернуть направо (до автобусных остановок) авт. №163 до остановки ""ул. Новаторов"". 
б) Маршрутное такси: около выхода из метро №163 до остановки ""ул. Новаторов"" (конечная).

М. Проспект Вернадского  1-ый вагон из центра. Налево (до конца), ещё раз налево. Дойти до светофора и повернуть направо (до автобусных остановок): 
а) автобус №246 (или маршрутное такси №246м) до остановки ""ул. Удальцова"". По подземному переходу перейти на противоположную сторону. 
б) Автобус №661 (или маршрутное такси №300м) до остановки ""ул. Новаторов"".
";Режим работы: 10:00-22:00;Телефон: 8 (495) 935-13-90;Дочкисыночки;
г. Москва; Мячковский бульвар, д.10;м.Братиславская 1й вагон из центра. Выход из стеклянных дверей направо. 2 мин. прямо по тратуару. Отдельно стоящее здание перед входом в парк.;Режим работы: 10:00-21:00;Телефон: 8 (495) 345-49-38;Дочкисыночки;
г. Москва; Пролетарский проспект, дом 19/1;"м. Кантемировская, последний вагон из центра 10мин. пешком от метро
Открыт отдел ""Женские штучки!""";Режим работы: 10:00 - 21:00;Телефон: 8-499-320-28-11;Дочкисыночки;
г. Москва; Самаркандский бульвар, д. 26, к. 2;"От метро Выхино: 
автобус №209 до остановки ""Школа им. Балакирева"", дальше пешком по Самаркандскому б-ру 7-10 минут. 
Маршрутное такси № 610м до магазина ""Дочки Сыночки"".
 
От метро Кузьминки: 
маршрутное такси № 337м до остановки ""Школа"", дальше через школьный двор 5 минут пешком до магазина. 

От метро Рязанский проспект, в сторону области:
троллейбус № 63 до остановки ""Школа им. Балакирева"", дальше пешком 7-10 минут. 
Маршрутное такси № 351м до магазина ""Дочки Сыночки"".                                           автобус № 143 до остановки ""Школа"", дальше пешком через школьный двор 5 минут до магазина.
";Режим работы: 10:00-21:00;Телефон: (495) 376-00-04, (495) 376-90-11;Дочкисыночки;
г. Москва; ул. 7-я Кожуховская, д. 9, 3 этаж ;"Станции метро: Автозаводская, Коломенская, Пролетарская, Кожуховская, Дубровка бесплатная маршрутка до ТЦ «Мозайка». От МЦК ст. Дубровка, переход в ТЦ ""Мозайка"". На машине заезд со стороны ТТК
Открыт отдел ""Женские штучки!""";Режим работы: 10:00-22:00;Телефон: 8 (499) 272-07-40, 8 (499) 272-07-41;Дочкисыночки;
г. Москва; ул. Бирюлевская, д. 51, корп. 1, этаж 3;"ст.м.Царицыно, маршрутное такси 620 до остановки ""Перекресток"", ТЦ ""W"".
";Режим работы: 10:00 - 21:00;Телефон: 8 (495) 123-51-49/50;Дочкисыночки;
г. Москва; ул. Вавилова, д. 3, этаж 2;ст.м.Ленинский пр-т;Режим работы: 09:00-22:00;Телефон: 8 (495) 232-41-87;Дочкисыночки;
г. Москва; ул. Вильнюсская, д. 5;"ст. метро Ясенево , выход из метро на улицу Тарусская,  5 минут пешком   (ориентир магазин ""Пятерочка"")
ст. метро Теплый стан,  последний вагон из центра. Автобус  264 - остановка ""Вильнюсская 8"". Троллейбус 72  остановка ""Вильнюсская 3"" (ориентир магазин ""Пятерочка"")
Открыт отдел ""Женские штучки!""";Режим работы: 10:00-21:00;Телефон: 8 (499) 643-21-82/83;Дочкисыночки;
