Рыбинск, Ярославская область, Россия;Ярославская область, г. Рыбинск, ул. Бабушкина, д. 29 ТЦ Виконда; (Карусель);9:00-23:00;+7 (4855) 23-91-54 доб. 180;Карусель;
Новомосковск, муниципальное образование Город Новомосковск, Тульская область, Россия;Новомосковск, ул. Калинина, 22/47;Новомосковск (Карусель);9:00-24:00;"+7 (4876) 22-18-97 доб. 108; 199";Карусель;
Чехов, Московская область, Россия;М.О, г. Чехов, Симферопольское ш. д.1;Чехов, (Карусель);Круглосуточно;+7 (495) 139-12-95;Карусель;
Москва, Россия;Варшавское ш. 21-й км, 32-й км МКАД ТЦ Лужайка;Москва (Карусель);8:00-22:00,;+7 (499) 213-30-47 доб. 108;Карусель;
поселение Мосрентген, Москва, Россия;МО, п. Мосрентген, р-он Мамыри, уч. 88Ю; (Карусель);8:00-23:00;+7 (495) 651-89-74;Карусель;
Дмитров, Московская область, Россия;г. Дмитров, ул. Бирлово Поле, 2;Бирлово Поле, (Карусель);Круглосуточно;"+7 (495) 642-68-33 доб. 199; 208";Карусель;
Подольск, Московская область, Россия;г. Подольск, Симферопольское ш. 20А, стр.1;Подольск (Карусель);Круглосуточно;+7 (495) 662-88-88 доб. 66-560;Карусель;
Бронницы, Московская область, Россия;М.О., г. Бронницы, Каширский переулок, д. 66;Бронницы (Карусель);Круглосуточно;+7 (495) 644-11-35 доб. 300;Карусель;
Домодедово, Московская область, Россия;М.О., г. Домодедово, ул. Краснодарская, д. 2;Краснодарский (Карусель);круглосуточно;+7 (495) 642-67-80;Карусель;
Москва, Россия;ул. Декабристов, д. 12 ТЦ Золотой Вавилон;Отрадное (Карусель);8:00-24:00;+7 (499) 904-60-01 доб. 108;Карусель;
Мытищи, Московская область, Россия;М.О., г. Мытищи, ул. Коммунистическая, д. 1 ТЦ XL;Фуражная (Карусель);9:00-23:00;+7 (495) 543-91-51 доб. 178;Карусель;
Химки, Московская область, Россия;М.О., г. Химки, Ленинградское шоссе, владение 5;Химки (Карусель);Круглосуточно;+7 (495) 642-99-85;Карусель;
Москва, Россия;г. Москва, пр-т Андропова, 8А ТЦ Мегаполис;Андропова (Карусель);Круглосуточно;+7 (499) 933-20-13;Карусель;
Москва, Россия;"Ленинградское ш., 16А, стр.4
ТРЦ Метрополис (магазин ПЕРЕКРЕСТОК ГИПЕР)";«Перекресток ГИПЕР», Войковская (Карусель);10:00-03:00;+7 (495) 139-12-91 доб. 104;Карусель;
Москва, Россия;Северное Бутово, ул. Поляны, д. 8 ТЦ Вива;Вива (Карусель);8:00-23:00;+7 (499) 553-81-13 доб. 210;Карусель;
Москва, Россия;Новоясеневский пр-т, д. 1 ТЦ Спектр;Теплый Стан (Карусель);9:00-23:00;+7 (499) 284-60-39;Карусель;
Санкт-Петербург, Россия;Ленинский пр-т, 100, стр.1 ТЦ Фиолент;Жукова (Ленинский) (Карусель);круглосуточно;+7 (812) 448-93-75 (доб. 349);Карусель;
Санкт-Петербург, Россия;пр-т Маршала Блюхера, д. 41;Маршала Блюхера (Карусель);Круглосуточно;+7 (812) 448 42 56 доб. 14331;Карусель;
Санкт-Петербург, Россия;пр. Просвещения, д. 74, к. 2;Проспект Просвещения (Карусель);круглосуточно;+7 (812) 336-86-50;Карусель;
Санкт-Петербург, Россия;пр-т Просвещения, 60, корп.1, лит.А;Руднева (Карусель);Круглосуточно;+7 (812) 407-70-91 доб. 358;Карусель;
Санкт-Петербург, Россия;ул. Бухарестская, д. 89;Бухарестский (Карусель);круглосуточно;+7 (812) 448-40-10;Карусель;
