Санкт-Петербург;Академика Александрова ул., д. 2 (Сосновый бор);ЛО, г. Сосновый Бор, ул. Академика Александрова, д. 2;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Бабушкина ул., д. 125;С.-Петербург, ул. Бабушкина, д. 125;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Брантовская дорога, д. 3;"С.-Петербург, Брантовская дорога, д. 3 (ТЦ ""Охта Молл"")";"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Бухарестская ул., д. 69;192284, С.-Петербург, Бухарестская ул., д. 69;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Вербная ул., д. 21а;С.-Петербург, ул. Вербная, д. 21а;"Режим работы


  
    myListFunctionAfterLoad['updatePageName']=function(){
        $('#pageTitleName').html('Вербная ул., д. 21а');";;Лента;Гипермаркет
Санкт-Петербург;Выборгское ш., д. 11;194356, С.-Петербург, Выборгское ш., д. 11;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Выборгское ш., д. 216, кор. 1 (Парголово);С.-Петербург, пос. Парголово, Выборгское ш., д. 216, кор. 1;;;Лента;Гипермаркет
Санкт-Петербург;Гостилицкое ш., д. 58, лит. А (Петергоф);С.-Петербург, г. Петергоф, Гостилицкое ш., д. 58, лит. А;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Дальневосточный пр., д. 16, кор. 1;С.-Петербург, Дальневосточный пр., д. 16, кор. 1;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Дорога Жизни ш., д. 6 (Всеволожск);ЛО, г. Всеволожск, ш. Дорога Жизни, д. 6;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Дорога Жизни ш., д. 12 (Всеволожск);ЛО, г. Всеволожск, ш. Дорога Жизни, д. 12;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Крикковское ш., стр. 69 (Кингисепп);ЛО, г. Кингисепп, Крикковское ш., стр. 69;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Лиговский пр., д. 283 А;С.-Петербург, Лиговский пр., д. 283 А;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Московское ш., д. 16a (Шушары);196626, С.-Петербург, пос. Шушары, Московское ш., д. 16a;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Обводного канала наб., д. 118, кор. 7;С.-Петербург, наб. Обводного канала, д. 118, кор. 7;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Обуховской Обороны пр., д. 305;С.-Петербург, пр. Обуховской Обороны, д. 305;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Парашютная ул., д. 60, лит. А;С.-Петербург, Парашютная ул., д. 60, лит. А;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Петергофское ш., д. 98;С.-Петербург, Петергофское ш., д. 98;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Пискаревский пр., д. 59, лит. А;С.-Петербург, Пискаревский пр., д. 59, лит. А;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Планерная ул., д. 17, лит. А;С.-Петербург, Планерная ул., д. 17, лит. А;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Пулковское ш., д. 33;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Руставели ул., д. 61;С.-Петербург, ул. Руставели, д. 61;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Савушкина ул., д. 112;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Симонова ул., д. 13, кор. 2, лит. А;С.-Петербург, ул. Симонова, д. 13, кор. 2, лит. А;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Строителей пр., стр. 7 (Кудрово);ЛО, пос. Кудрово, пр. Строителей, стр. 7;"Режим работы  24 часа;";;Лента;Гипермаркет
Санкт-Петербург;Таллинское ш., д. 159;198205, С.-Петербург, Таллинское ш., д. 159;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Санкт-Петербург;Тельмана поселок, 2б (Тосненский р-н);ЛО, Тосненский р-н, пос. Тельмана, 2б;"Режим работы  круглосуточно;";;Лента;Гипермаркет
