Город;Адрес;Комментарий;График работы;Телефон;Магазин;Формат
Омске; ул. 70 лет Октября, 7 ;Супермаркет О'КЕЙ «Омск 70 лет Октября»; 9:00 - 23.00 ;+7 (3812) 35-62-16;О'КЕЙ;Супермаркет
Омске; ул. Энтузиастов, 2 корп. 1 ;Гипермаркет О’КЕЙ «Омск Энтузиастов»; 9:00 - 23:00 ;+7 (3812) 29-28-10;О'КЕЙ;Гипермаркет
Липецке; ул. Петра Смородина, 13А, ТРЦ «Армада» ;Супермаркет О'КЕЙ «Липецк Петра Смородина»; 9:00 - 23:00 ;+7 (4742) 90-84-02;О'КЕЙ;Супермаркет
Липецке; ул. Советская, 66 ;Гипермаркет О'КЕЙ «Липецк Европа»; 9:00 - 23:00 ;+7 (4742) 90-89-88;О'КЕЙ;Гипермаркет
Мурманске; пр-т Ленина, 34 ;Гипермаркет О’КЕЙ «Мурманск Шмидта»; 9:00 - 23:00 ;+7 (8152) 59-63-33 ;О'КЕЙ;Гипермаркет
Новочеркасске; Магнитный пер., 1А ;Супермаркет О’КЕЙ «Новочеркасск Магнитный»; 9:00 - 23:00 ;+7 (8635) 21-01-58;О'КЕЙ;Супермаркет
Сочи; ул. Новая Заря, 7, ТРЦ «МореМолл» ;Гипермаркет О’КЕЙ «Сочи МореМолл»; 9:00 - 23:00 ;+7 (862) 269-59-25;О'КЕЙ;Гипермаркет
Волгограде; ул. Рабоче-Крестьянская, 9Б, ТЦ «Ворошиловский» ;Супермаркет О’КЕЙ «Волгоград Ворошиловский»; 9:00 - 23:00 ;+7 (8442) 968-171;О'КЕЙ;Супермаркет
Волгограде; ул. Краснознаменская, 9, ТЦ «Пирамида» ;Супермаркет О’КЕЙ «Волгоград Пирамида»; 9:00 - 23:00 ;+7 (8442) 968-121;О'КЕЙ;Супермаркет
Волгограде; пл. Дзержинского, 1Б, ТРК «Диамант» ;Гипермаркет О’КЕЙ «Волгоград Диамант»; 9:00 - 23:00 ;+7 (8442) 968-151;О'КЕЙ;Гипермаркет
Оренбурге; ул. Салмышская, 71, ТРЦ «КИТ» ;Гипермаркет О'КЕЙ «Оренбург Салмышская»; 9:00 - 23:00 ;+7 (3532) 54-12-99;О'КЕЙ;Гипермаркет
Астрахани; Вокзальная пл., 13, ТРЦ «Ярмарка» ;Гипермаркет О’КЕЙ «Астрахань Вокзальная»; 9:00 - 23:00 ;+7 (8512) 46-42-70;О'КЕЙ;Гипермаркет
Астрахани; ул. Минусинская, 8, ТЦ «Три кота» ;Супермаркет О’КЕЙ «Астрахань Три кота»; 9:00 - 23:00 ;+7 (8512) 61-07-84;О'КЕЙ;Супермаркет
Астрахани; ул. Боевая, 25, ТРЦ «Алимпик» ;Гипермаркет О’КЕЙ «Астрахань Алимпик»; 8:00 - 23:00 ;+7 (8512) 46-43-01 ;О'КЕЙ;Гипермаркет
Ставрополе; ул. Доваторцев, 61, ОРТЦ «Ставрополь» ;Гипермаркет О’КЕЙ «Ставрополь Доваторцев»; 9:00 - 23:00 ;+7 (8652) 95-15-56;О'КЕЙ;Гипермаркет
Екатеринбурге; ул. Репина, 94, ТРЦ «Радуга-парк» ;Гипермаркет О’КЕЙ «Екатеринбург Радуга»; 9:00 - 24:00 ;+7 (343) 311-41-70;О'КЕЙ;Гипермаркет
Екатеринбурге; ул. Бабушкина, 2А ;Гипермаркет О’КЕЙ «Екатеринбург Бабушкина»; 8:00 - 24:00 ;+7 (343) 312-21-70;О'КЕЙ;Гипермаркет
Воронеже; ул. Маршала Жукова, 15, ТЦ «Европа» ;Супермаркет О’КЕЙ «Воронеж Жукова»; 8:00 - 23:00 ;+7 (473) 206-58-35;О'КЕЙ;Супермаркет
Воронеже; ул. Шишкова, 72 ;Гипермаркет О’КЕЙ «Воронеж Шишкова»; 8:00 - 24:00 ;+7 (473) 261-47-50;О'КЕЙ;Гипермаркет
Воронеже; ул. Кольцовская, 35, ТРЦ «Галерея Чижова» ;Гипермаркет О’КЕЙ «Воронеж Галерея Чижова»; 9:00 - 23:00 ;+7 (473) 262-93-70;О'КЕЙ;Гипермаркет
Новосибирске; ул. Дуси Ковальчук, 1/1, ТЦ «Малинка» ;Гипермаркет О’КЕЙ «Новосибирск Малинка»; 9:00 - 23:00 ;+7 (383) 210-65-25;О'КЕЙ;Гипермаркет
